embryos	juveniles	adults	juv&adults
141	79	131	210
145	81	131	212
137	87	132	219
136	93	133	226
138	97	130	227
142	100	128	228
142	103	125	228
138	103	122	225
159	108	120	228
164	111	120	231
180	110	122	232
189	112	121	233
209	115	121	236
216	115	119	234
225	117	121	238
224	114	124	238
252	114	127	241
258	110	130	240
253	111	130	241
153	111	105	216
138	110	98	208
134	114	98	212
125	120	99	219
114	126	101	227
104	132	101	233
85	140	98	238
80	142	100	242
104	143	100	243
105	148	100	248
94	152	99	251
82	156	97	253
76	159	94	253
92	157	91	248
120	159	92	251
116	159	94	253
107	161	98	259
101	162	99	261
137	161	101	262
133	156	108	264
130	154	110	264
129	147	115	262
143	142	117	259
178	138	121	259
175	137	124	261
172	136	128	264
171	129	134	263
169	130	131	261
158	131	130	261
198	141	129	270
212	163	129	292
235	180	127	307
260	187	128	315
353	201	126	327
398	204	127	331
416	203	126	329
434	203	128	331
487	201	129	330
535	193	135	328
551	191	140	331
566	194	142	336
566	189	148	337
550	193	150	343
553	190	152	342
530	187	155	342
532	185	155	340
536	177	157	334
578	174	159	333
605	165	160	325
598	162	161	323
607	154	170	324
613	150	175	325
618	156	176	332
639	163	178	341
615	182	173	355
570	232	171	403
541	288	171	459
579	336	171	507
569	389	168	557
541	434	168	602
551	448	167	615
442	456	153	609
422	450	154	604
417	450	151	601
470	440	153	593
472	440	155	595
472	429	161	590
466	424	162	586
473	426	168	594
487	434	170	604
468	467	172	639
505	502	168	670
556	520	176	696
532	551	167	718
490	550	165	715
536	546	170	716
557	544	178	722
573	547	181	728
558	538	184	722
565	535	187	722
574	538	190	728
622	526	195	721
624	519	205	724
629	503	220	723
637	497	235	732
657	489	243	732
433	111	174	285
427	106	183	289
407	101	192	293
397	103	198	301
384	102	204	306
376	100	208	308
405	109	211	320
387	126	209	335
384	151	208	359
296	167	176	343
269	193	176	369
247	210	175	385
219	227	171	398
195	247	173	420
170	263	174	437
157	279	174	453
139	297	171	468
119	323	167	490
93	348	168	516
75	359	166	525
175	367	166	533
129	52	153	205
123	58	153	211
121	59	151	210
117	63	150	213
114	65	150	215
113	62	149	211
113	58	152	210
113	56	154	210
113	56	153	209
113	55	153	208
138	50	156	206
141	43	161	204
168	35	168	203
182	34	168	202
187	30	171	201
242	28	174	202
292	30	173	203
119	9	139	148
108	18	140	158
93	32	139	171
74	51	138	189
57	66	136	202
46	77	134	211
32	91	133	224
25	98	132	230
21	101	130	231
21	103	127	230
30	100	126	226
30	99	124	223
27	101	124	225
26	102	122	224
26	100	122	222
25	101	122	223
25	99	120	219
22	99	120	219
21	98	120	218
19	100	120	220
18	99	119	218
18	97	117	214
18	96	117	213
17	96	117	213
17	94	117	211
17	94	116	210
17	94	115	209
16	94	115	209
16	94	112	206
15	93	110	203
22	93	109	202
21	92	109	201
20	93	109	202
16	96	107	203
13	99	107	206
12	99	105	204
10	101	103	204
10	99	102	201
20	100	101	201
19	100	101	201
19	100	101	201
19	98	99	197
29	98	97	195
32	94	98	192
32	86	104	190
32	83	105	188
32	82	102	184
32	80	102	182
32	77	103	180
32	76	103	179
32	75	104	179
32	74	103	177
32	74	102	176
32	73	103	176
10	71	101	172
10	71	98	169
10	68	99	167
10	67	99	166
10	66	100	166
10	66	100	166
10	64	100	164
10	63	99	162
21	62	98	160
25	56	101	157
25	55	101	156
25	49	104	153
25	45	108	153
28	40	112	152
29	40	111	151
29	39	109	148
28	36	113	149
27	36	110	146
